,max_rank,min_rank
1250095255,30406,273
1783280158,2562947,115168
1480930881,3233857,22376
B0723B3FXJ,683977,58752
1786811855,1090517,41168
1910780405,4634451,122030
0801485606,365607,10522
1501161806,281360,13486
076245282X,2368271,276093
0997817402,672955,38123
B074M9TS6B,12321,6545
B077TD7RBG,719584,22106
3990483536,13595010,10166092
1772260215,6438459,3247694
1987614364,3918336,108764
0749454776,1438998,62656
1981068104,3606335,383294
B0034DGPAO,2151771,1869044
2266186671,1768568,78174
B00EN6LJ2U,146593,3490
148148303X,397199,12813
B00HV52H9O,886310,93901
B00CSC14SA,659863,5420
1542946476,3222933,216949
B077XDKFGZ,2101,385
1771387300,2426009,64148
B01EG4KYLK,2890622,201521
B0774Q5T9L,172034,11142
1471849260,3300477,3287922
0865349738,4251273,111433
082544490X,777289,45929
0735220271,57151,1115
B01ADOHPQY,2559432,192099
B06XW7YW5P,354472,5628
0143113747,814614,45960
1935460889,3292382,817725
B01JM0CZVA,478713,11676
1521812438,7256210,6808455
B07C83FNYT,2865819,2757216
B00HTK1IVO,5307566,1758377
B00HRKHDDS,4826654,4206683
3864902967,3639866,3311760
1941040276,1698647,116611
0753555034,952758,38262
B00EIS74BI,1265000,114643
B0787G52JH,606941,64060
1592531962,1069351,9660
0307743683,113124,4006
1546825576,1188529,47021
0864926634,4188493,148521
1456768026,17778755,17121842
B075KKJ91H,603355,42461
1607810239,1561603,58818
B075GXR2GJ,1757105,1725157
B00H33S3CE,676615,62270
0340610441,4003259,71250
171719804X,2390089,101400
B074PWJS53,1029592,51979
B008UX3CYU,597766,3435
1632166917,4388379,178683
B01I9NFIDI,285259,1019
1138823147,1787580,59959
0712356746,1055268,25033
B0057HB2J4,4152819,3228673
B007M2AY96,411188,38867
B01D3SGLGC,2275308,100628
0525536221,558570,1
B017I22DYS,584872,603
B0764CJ24W,1290326,27791
B00KD14YMG,3201706,118309
B07C7912KX,46987,13673
1940233348,8147746,5535673
B00IQOJDOQ,360886,29263
3440137457,14787397,12856403
1683311973,1190573,39876
B017H6RPSO,3477783,3046941
022605442X,1051736,15623
0310450594,441653,7082
3639323866,16920818,14136347
B072HXJ4J1,1158558,27751
0385538057,481346,29708
B076J4LZG4,683061,21973
0195142373,976282,48933
0345533429,115705,5532
B012P69B60,1756799,113074
B00X1GLGU8,1699815,82043
B014A0IY76,697634,242
1937890074,7108463,250172
0486483908,1146366,55495
B00AFHHXE4,898581,76062
0316206849,122028,3693
B003EYW0TI,1008220,97301
1402255446,6302,384
1640456430,3555013,157792
B01GFH4H2S,923407,52605
0982280971,5334100,182450
0761181806,143443,10233
B00GMWID22,837594,104187
B002JQULOI,5813269,5511884
B01N9YKZQL,233331,2895
0345803507,15114,87
0955459923,909450,67160
B0711LSYC7,1897453,55489
B018E4C3XU,3488336,2540209
B07B777B8N,257869,8827
B07BD37SCK,646168,14744
B01KVYMRPA,1577716,49871
022643625X,985673,42075
B079TPT6YW,253934,31328
1498431615,1242685,2627
B00M7D0DP0,456024,836
1501132849,17778,1739
B0062WFEO2,568313,41386
B006VJMYRG,1012575,90331
B00GMWIDXQ,3147286,232331
0132858037,1019042,31896
B00FY2QIBY,1741998,133890
B012JNOG4G,699575,83739
B01N6PZUU0,915362,21995
0312303467,1183196,47920
B002TKFEXW,490152,30895
B01EES5ZGM,389333,8077
1631216643,4537,1262
B07DFWKBX8,194402,11916
0871130696,284798,11507
1250113369,437818,12506
B00DK42NWG,858368,116778
B00LFX3HKQ,4363800,3529105
1681197200,550848,9816
B00WRMWFF2,817721,33914
1447164180,3230261,109129
1782272992,5559464,136335
0141035684,3828257,180746
B01N6K4VZ9,271731,10465
B077B9SWRR,1110864,53793
1772262307,655219,28848
1402289650,2685251,77589
0978393988,10464783,9490426
B075VJVLKR,100046,2925
0062322524,105605,77
3492276849,10740799,4625685
B06Y5DCYK8,1621946,79607
0439227143,613917,14581
B06Y2M6QQ1,2968890,119384
B076FVQQ19,731082,7510
B01F5NGV5E,412729,28606
0958006121,9963714,9302169
1430326808,2565585,86591
0230320368,1727694,108591
354052780X,5895320,5808909
1503901076,287662,16945
B017P7ZALO,487355,41252
B00UW37DVY,669543,71901
B00T72M172,895231,33364
B01LL0MJN8,1107380,34934
B003OIBGYY,1878028,138082
B01M8JSLZK,2314115,136460
B00XKJBYFS,528996,25338
B016HEFQPQ,1162213,14217
B00QZGEMIY,1159616,17009
B06XJ6NVMM,668276,4950
0735217718,13940,88
B077WF7J6J,1830689,125085
B01FYINNLK,1947207,107867
0099280248,3266220,104853
133813437X,3497,279
B0784F49B6,367142,14454
1476777810,67540,674
B01F3ET2SI,42224,8505
1681310201,2999049,74639
B01HYX6BOE,3576719,177702
B01LXVPW3M,42528,381
0133274799,15217429,14534840
B01EXUSHU2,2304287,1131305
1451675062,1004578,23875
B00DB3N7IK,1355474,117126
1784770663,4179617,116177
1476759650,659114,38809
B07D24XF7M,243809,16939
1945667931,1295900,57689
1619227584,8438956,5688605
0807001260,1040286,24072
1469151464,2398420,88567
1635254868,6802501,284002
B072BM6942,1414333,80691
1943006547,1473465,4345
0973927836,6003266,168680
B010JG1YCC,2210685,117763
0352334843,6712116,6606696
B079X4MS68,736774,51520
1365159574,6421747,110227
B00KLWDGY4,4800441,4110355
1250085659,447836,19047
B0798RZ2ST,578637,65934
B07BSVDTL4,106317,5397
1934359017,2466414,77224
B00GVAY3A6,1033035,125636
1473616433,5226802,161744
B004CFA9RS,8600,96
B077DC2FKW,799162,8642
B079DXP1M2,1480725,120595
B00YTG3C0G,27416,28
B019P3T7R4,392657,65545
162157203X,252975,9185
1717160786,434123,25475
1906477604,6810383,219334
B077752MDX,342044,1646
031333871X,4818950,83813
174104670X,4603438,3336124
1477457054,1910030,108071
B01775OH4A,1405532,108003
0995851646,1777948,42009
1973722364,1466147,106604
B01N12TBDC,1484155,44891
149038085X,2241354,99871
B00Q084VOW,909023,136408
B00SER0MFO,3824079,2865695
B01FSGGGXK,647454,6532
0470890444,833994,19314
B00K822VV6,2778470,2436073
1119241529,1661403,55302
019989261X,986222,37063
B0052RDIN2,346320,46857
1503070395,4295952,3133311
B01805YQTC,1556877,117095
B077CMP44M,249295,12397
1250001986,1938897,84384
1101980133,63007,1184
B00JJT72WW,2963010,216720
848445181X,7129952,251864
B014T4W7BM,223284,5486
0142415243,46899,4550
B00FXW50WS,641200,78321
B078HJMCJ9,565749,19813
B00LP0X7PE,1262433,158449
0393344517,76921,3621
1442216948,2355368,2236665
1633693422,27979,5322
B01M07KRJ8,89898,222
3495488383,10809132,3875741
0060892110,818052,49565
B07281BW7W,3817672,608179
1591024579,820901,662043
B00OABX1HE,1252007,109694
B00URULA8O,740196,38300
1498516866,1153939,780849
1530914167,12533524,11434672
B00CF6UZFW,1027945,62292
B004HW7E6U,169585,215
1910751081,410599,31475
B078FPNXMM,60073,3187
B077YML8C7,2586959,128511
B00HHCFV5S,507785,23440
B017081LFC,634601,38939
B073HFQ2F6,608327,10230
0349418241,955332,24440
1890350346,1577518,73614
1591847850,4069,61
B013MZEM4O,313409,32011
1910780960,3851604,176123
1508420068,3113768,89524
B01L2XH6VY,795432,62332
194031139X,12644334,8976513
B01AQ14XL4,296373,12545
1328695913,63045,152
B01EGL8TII,1428325,14842
B01ICHQOMK,651721,28130
1545607141,3676954,129142
0394815424,879610,31082
0470648287,874446,44300
B0748L277J,2306342,122254
0738214930,182546,13250
B01LZJ5ZZB,1411207,85881
B078PT469F,266426,27797
B01KQOCR1E,792121,68278
B01IIZP47C,900120,88450
B01A5WNAOU,2163340,165393
B00SZKZBQA,59747,6971
0575073160,3178255,138582
B01BTHEUWQ,638255,2799
B0738PDRXF,540131,10151
1539874370,10627980,556012
B01MS3CW8P,581660,67929
0156010860,16706,270
0735222975,4824,111
B073638334,1344821,128269
1518889212,2410424,110370
B01MRRZR3I,255548,9613
B00ES6AFF2,1715156,26386
B0167ZY3BI,1238568,87844
B00DJUZF6W,386122,34668
0758286856,484216,14995
1568821921,904986,67622
B017GV52TY,507202,55988
3741891207,10376090,2084486
B003U89RLC,892806,61803
B00ZP5WPBC,502736,82725
B073G675T4,2303786,133073
080073422X,902325,45456
097897042X,17599766,14988872
B0087GJ8KM,77831,10685
014241493X,7134,1119
1620403218,47555,920
B0792X8ZCM,3367631,3091667
1405276304,910295,47159
1501040154,7206965,4975401
1626549001,2465013,88476
B00480OX8S,823454,76709
098091602X,5164034,136231
B00HQ7YP0G,102265,8901
B072JY64V8,1481785,53619
1470160404,10706062,7055165
0307390632,1152405,44620
1682617661,2064481,14626
B078W8ZXK4,1539806,91514
3950442650,7161414,3655141
0061728977,112037,5958
B01BAYWZF2,310657,10469
0735213658,7638,494
B00N2XMPDC,1044265,101929
B07146MCNY,30959,178
B013LKL13U,202932,3908
B00XF6FGJQ,632358,64221
1859859208,1719335,124366
1493662457,1482966,63812
149303300X,7919577,4238084
1505624894,3411079,188719
B0055PPVU4,879878,57969
0340960191,1944541,113322
B07C9GGXDS,18362,2044
0008130833,868880,69204
1848720572,1504707,11471
099384460X,5610407,161495
B00HQLSRR4,1743367,1672744
1537103636,10994471,271256
1607853426,2803308,89622
1682618056,460727,101208
1940699134,412069,26086
B073QC2HVZ,306833,3201
1621050572,1911243,94687
B07BMHD688,2865820,2757217
B077XPKQPJ,57762,1496
1908682442,10380627,243853
1466425121,5070578,40490
0062368702,776416,30748
1119144752,11076,312
1785780239,31086,7332
0718078136,65,2
B004W3IDFU,583143,61413
B00WOZQ62K,1885392,122781
B00CFIKJ6K,2810631,2007371
B078NKRFSB,401834,29519
1974545229,4738010,104310
0307473511,589707,17584
1490363998,9414358,8131329
B00HMQZREO,267377,28596
0226527875,911480,19711
B00BMW8G06,914103,72337
B074WGG8DC,3682122,256550
0679750533,154751,6218
B00GL27J46,438833,44360
B014CS5MNU,512411,103572
8461795660,1562682,36515
B003F769UU,3913179,3509390
1945572965,1383345,77687
B07DHHQC88,46670,16322
B072JTJRJQ,216216,225
B07CPN5KN7,184465,6530
B00KY1FBLS,2049795,237635
B00EK5SCSI,439413,30711
B072N6JR2R,153559,31
1629990884,2244800,123817
B014BBNO3S,552966,37822
3705855107,17321708,16966580
1284131068,74024,7739
B06W2JZXSC,1660692,75142
0385541171,6345,2
B01CNTOHV8,416504,2325
1907621083,1182704,63145
1772264849,1282347,38884
B00D5D2WHI,2761798,2027780
B06WGNSW9G,17731,7506
B01JGNP1LO,2479426,188296
B00NM8P6TM,846944,120602
194692007X,2985516,101415
B00FEJ2CKI,1219666,199271
0814414362,193186,17646
0316405051,1203609,84124
B00UTUN2H4,440763,19017
B079QTKTV1,30696,4707
B00PY6CSNM,137655,12522
1626940835,4991527,3589424
1506701655,407747,18045
1409168557,9378331,259482
1439198489,1115633,64729
0850301645,14727617,11575938
B01MTVI0RV,30005,4920
1984163868,856975,32099
0143128426,500308,16961
B003JBHV04,64838,180
B01KP5OEXI,7410,2760
B00EIS9CFO,615378,14909
1250058783,25081,527
1501839314,6126499,118392
B00JDS2ZG2,2679051,175208
B00ISBVAJI,994002,108786
B07121Y7T8,726681,12206
0393325350,669540,34392
B004WX1DHK,579657,49155
B00BFXEMFA,148452,18411
1938288777,4269082,4092479
0062286188,483088,5609
B00AK3GTRA,1041505,128225
B00CYSMJ82,1040860,90660
B00IIX9IXG,2080097,177247
B07BFG8JXW,612872,25954
3453685342,14798805,12620704
0786752882,8771242,8771242
B01L66I5WQ,2187429,169303
B07BH37RW9,460131,13368
1560252480,280125,15469
B00IQISE88,3700868,121497
B075TK78HQ,3359390,3325847
1443414298,9730474,108199
B076GVVY3H,2371212,108942
B00Y217CWW,376984,27340
0062059882,398479,992
B00E6YY6TC,368416,7236
B00FVGCZN8,1246933,133725
B000FC14LM,76631,13210
B009TRWV2K,1492191,114148
0874776929,326117,13008
0691159475,866591,44562
0321218736,3115547,3046873
1476733953,18466,1745
0857636049,2605131,21465
B01M0GA87Z,496928,34984
B0731FGB6L,1659150,64902
1500397814,1049286,85840
1780372949,3139552,29211
0544466381,614720,49828
0262014769,1851205,73243
3642310257,6257383,4393608
B00N245NLM,1786566,123658
0335245994,7575808,6838687
1408886812,3007021,127644
B0071R3JI0,543244,4983
B071G3MDLM,1533688,10053
1936891301,20669,1659
B01CDFYFE6,102651,7638
B008N74W1K,557141,62638
B0054M8O8Y,707681,50157
B00EBXUPXE,726265,112822
B077Y3CGCD,2173721,55973
1626720444,1708532,77401
0451236122,560897,23084
1138824283,3465443,163101
1250048893,2079394,147568
B01ICAI8US,928276,9660
B07B3T2HZC,73354,7571
B01GZY28JA,319,83
1433683431,1750840,80686
1101883073,30052,346
B078RSZQL2,1428991,48574
0062316095,1684,8
1591846331,865509,55374
1633532712,834620,8530
0830852905,688941,24043
0316213438,1287825,92242
B00O055YEI,1169409,74670
B01676GJQE,393040,7877
B015QW7TZ0,133223,7483
B01N75RPVX,440800,4822
098259870X,1615223,67044
B00M0VHWXA,223257,21125
B07C24JNVW,1594,64
0062684450,337593,7394
B00VPYKE2Y,1008454,120198
B073TMDZ2D,2070868,77554
B01AVK0BXY,2412134,113798
1549771191,195210,3023
1501138170,37253,218
0374280045,97241,2346
B0756LCKQP,2122038,125333
B006SMF4H8,712234,85270
1492281581,15923590,12995474
1530691265,4131670,3589586
B075NJD2NZ,96238,7656
B071JSQC3J,814144,23507
1501145665,299203,10379
B06X6M4T74,389069,2508
B010YQ95HI,2288781,178899
B004VA3T6W,922218,343860
1572248912,223819,7220
038549081X,373,1
B076P6NY6M,571646,1391
B00GWXWY1W,2916481,211780
B075G1JV6V,2209720,103305
1138220604,4711841,119150
1476738017,43336,1524
B076BRNJLS,3448603,13410
B0716L5M3T,214286,4463
B00U0Q57BQ,1516499,111973
B015RV07OU,932602,65910
0735290253,159266,8368
B079P94RH5,1672841,103684
1429716428,6361099,5681995
1976371457,16032,367
1633571157,1845010,32796
0310250161,996143,55679
0316406899,123784,8517
B00F4F921Y,469118,34250
B07CRSRBR9,60339,632
B00200LSVS,915316,117491
0310330157,1160063,106180
B01LXC1LQR,2381849,62601
1501313207,8319027,193065
B0779HSFF5,617924,20611
0124158161,2301149,97488
1936261375,291352,47
1101983698,908439,35348
3534264266,12006889,10037649
B00I3P1ICS,1210348,84187
0738739685,1059214,20041
1780664303,869206,25123
1788171276,751436,41520
B075FH3CBG,997943,18247
1449319793,248902,3501
B077WDZWJS,1453037,48088
B019JDMVOQ,727175,55083
022652308X,2846612,15587
1582463166,717831,16984
B072J7Y2T5,633616,10292
0545956633,1378728,118472
0615868673,6416440,5468647
1976781728,5898258,4422060
1250082676,1420560,33292
0615308929,12857201,12803308
1911295438,3208197,3060714
B01NAZIPFW,1566620,204079
B07B4XLT9Z,696535,46360
B013PD4U6I,1476617,30236
1934912530,9567015,146404
0736968962,606686,16564
1509207899,3476982,225872
1585745391,535738,13651
0692965165,1799691,29113
150116578X,120485,2316
B00147RWB8,606304,76394
1539397971,5379107,76544
B06X6K3456,440625,5552
0310339464,885397,7572
0763662291,20820,402
1973513315,4430335,136397
B00RDOWDWY,1498569,40787
022610415X,1206844,50535
1937939340,932349,59810
B073V91JML,44869,147
3833834129,8677303,6255690
1550718495,2352289,106476
B00DZ4P5BW,2442053,162086
B00Q6EMEVM,682227,61683
022655872X,9080561,68695
0141364157,1633261,1443961
1495069257,1917664,69355
B07C9GLDCZ,2463712,2038483
0062087371,546147,25812
1420077473,6855979,87897
B00NLKPXIK,1019541,84901
B00JUUZU2E,331295,23363
1609079388,636332,25863
B01M5GFIWZ,388194,5102
1455516724,805829,36074
B01CGIX1M2,1474445,108877
111907701X,616184,52643
B0728DQ8V9,1336095,24340
B01E1RRX66,69161,2588
B00XH21C0U,2763802,146076
B00B0YPJ1A,361104,29736
B016A31ZWW,54750,6
B00M01756O,802839,22454
B00MNNAODK,26415,5383
B00U7LJOEK,294444,18610
3551652112,6616244,120608
1887140638,1319666,72785
B078S1NL4C,52950,6031
B06ZXWHWT8,154027,226
B00IKN82FY,1419920,108228
1522864741,1875,28
1910881198,6091171,5171948
1936740133,853160,44319
B072J4RQG1,2615262,177700
1770530878,3943141,266877
B06Y148622,523531,9064
1623171350,4170372,4979
0804769141,1119483,43710
1501116819,750122,21259
B01ERRNKT4,2791681,117574
B071CSXV5N,496108,3908
B07B42Y2ZD,3598,2169
150112403X,970323,16333
1922204528,9543080,8978814
B00C5HYEY4,693935,96755
B075RTPF5M,378312,3074
B00AO61R9I,662000,70151
B07BNVQW3N,26000,100
1936767473,997815,34667
1292011904,1083181,34674
B01A541D24,1316094,61827
B004SRUNPI,13948535,10604474
1524571652,8799107,2117640
B07BD5N2GB,94284,1153
1459737865,2190772,68306
B01E4B3USE,28963,6920
B01NA93ZNW,245065,7104
B07B9KCGG4,1137182,86172
074759323X,9189514,6191700
1484705270,211028,27667
1409167976,579761,551467
142261980X,554068,4125
B00RH6F6XQ,3753015,2787340
1785656406,451504,14820
1906421005,3722396,2731828
0349123799,6247364,174042
1541644883,31593,110
B01N5URJ99,1065787,24209
B01N2QKNZG,3060471,146657
0310080975,849333,7132
184576692X,2618155,107368
1521752745,967576,17612
3957531683,8184813,7603362
0316307599,946905,29347
1419716530,1001825,48720
B07BVDLS9V,1135242,23885
B01LYVFFN2,157723,8779
1780662157,3848191,173239
0957495803,3446885,169801
B07B6HZ5N7,216,127
069101602X,1435935,144140
0764325825,2294490,154864
1594206449,432200,4046
B0774T9CLX,207345,213
1943353239,3627291,124664
1449333893,246917,10867
B01M4LU3G0,610438,34049
153930227X,1834506,65618
0060778660,508541,24271
B07C1HSVLN,435389,2875
0007332033,3315989,96799
B01FFQ1WX2,3728280,2763247
B017CFBWRU,572897,41757
B00D0UXGXU,633158,49337
1948365030,823485,33045
B07BHNGVH2,520033,101763
B00BK1XBE0,2766904,1973472
197569385X,6643865,3110849
0316060127,942671,22045
0393243125,258953,361
0761189130,6217,217
0738750913,713673,44143
B00M22U1XK,446193,43675
B06WVDLCCJ,2845146,809691
B07CXY7B95,386342,19670
0394851420,27683,2275
1590584546,1843562,63566
B015UH2RZ8,1372751,1330607
0312532881,2029335,104110
B00EBNXMSE,571224,36690
0062097903,2197200,126666
B00OLY2JU0,507016,19109
039527804X,150730,10394
B01EI2I5UM,1372230,187119
B01FZXJWWI,946647,62808
B00LPFBS14,12153188,316479
B07BMJM89K,46546,1944
B00GU57MX2,3710729,558048
B006ZZN272,1453545,167541
1938398319,1330041,59347
3319223089,862355,49370
1494854783,12454685,8729525
B00BRZZOPS,1096767,108925
1500620084,2703739,110357
1539356760,2533524,140034
B006WBKKEC,1013634,55866
B079HTVZFC,948582,34722
B075YRBX8D,124676,19094
B01GFN3O7Q,1069623,75286
B075271GQY,1624918,48478
0310525063,340606,6949
B07DBS2S21,1132757,158344
0415477751,2276625,67380
B006VFSFGY,3786626,195406
B01N8VP1DZ,90148,4759
1912604256,2582788,115558
B00D5MQNF6,700715,73289
B078J2RHP6,705489,18288
081297381X,10732,1275
0545630134,45205,3330
B01FUXSN1Y,1172413,42560
B06XJ6CNBC,478836,9703
0981928404,5508145,154111
B01FTGMAES,310423,24450
0761125663,25735,2956
B01DRXCPP4,730030,255
0071826068,866975,115117
3423590858,11722496,7883905
B07456WF7J,2847316,100326
0399574662,518088,11912
8485805003,11768757,7849486
B074F2635J,1110636,2290
1319015883,15340,269
1499556330,5383585,3820981
B06Y23XPLJ,935542,7532
1107012678,6440695,6177954
B000W916DY,131795,12
B008EKOSRY,721694,92343
0393337170,31420,1934
1414326017,250780,3972
B01GR9HKD2,17046,6625
B016DUDRLO,1520269,121522
B075TV5BHW,2602,198
0898620341,351978,9375
B07C3KD271,592810,41021
1934081140,3215003,139077
1591842336,18031,1116
1493176854,8814968,5835638
B0746SHKZ3,7234,2042
B078Y99TZW,457705,47149
0415741491,3654684,2987932
0765386631,9131,1875
B07BW77CWQ,463577,20613
B00H6QUOB6,3149854,2457694
B073DH6B1V,684949,70220
B01MG5BCXO,30706,952
1537756095,4903474,103750
B00OQR0N5K,461078,44609
1501184717,2022,3
B00YU0IG6Q,760855,65917
0887307280,3501,409
B0731NFCF9,1070680,16855
B014PMICVC,750514,62177
1609361091,1511798,83429
0300069510,1196695,25820
1933855045,2629095,95787
1118856856,1642920,148676
0062422596,581162,10233
B00FL4UH94,1299054,121261
9176370712,1228117,37033
0762456175,1327992,100332
B0042JT1TQ,3745703,256849
B01LY2LAB8,534085,36017
B00KCUVQLA,713866,100400
022633662X,1347140,54072
1615992014,1696180,44952
1608092836,1103246,58530
1484746422,1623,224
B004VQWSU4,3003217,171351
0062310542,4549819,104046
B01MCXTOE6,4061630,3249034
027373198X,2073664,106122
B00BLNNS0Y,906313,29646
0996197281,1784071,43373
B00E9LS0OY,368938,42667
1544941404,5445644,5005451
B013V2EGJY,770499,87918
0993186610,1716120,81292
1945679026,5660416,2222903
1610397886,547000,15683
1520528949,3038427,66500
1786810379,1142695,25100
B0797N19PR,1279904,124832
3649613719,7068196,277373
1250037522,1052530,112863
B00EXTVS3C,555546,63137
0874774926,1247976,78763
B00TKOTG6Q,1870129,138855
B01M0Z89EN,714542,46577
0321934113,178442,10718
3423261056,12154184,8332840
B072F44Z8Y,1533009,28328
B07BLNXGYB,1052870,36395
1250043654,710573,41783
1632168650,7028386,4857206
B078ZGWZGS,342193,23785
B00Z8VT8AE,20311,25
0143035312,4851416,214705
1786152290,1093548,46738
B00MLDE32U,925196,53926
0618219196,365102,24300
B004XMXJLS,738104,67885
B0753CSBF9,589366,7398
B07DD1D9S9,188068,13035
B00V73919A,3352393,2446548
0806531444,716576,28789
1912262436,9252306,8350496
B073Y9V9M6,1938073,102396
B00XJRERP0,2008642,116804
B072F5H8V8,414197,5917
149855556X,5191579,53422
0062206516,966956,35805
B006VK588M,2013943,87666
1405273399,13893934,12953888
1621840697,2135258,65630
0470608293,1226938,85499
B00BZAUCIO,12103,2376
0190614676,2010827,84492
1609182278,16565,580
B0085V9HL4,2924177,1770690
B00ID8R2GG,2200283,171391
B074YLBRG5,979771,34827
099609282X,1788386,30120
B00KKSGVZU,2715820,208923
B015784FQO,601451,61792
B078H2KXPT,951550,34771
019824424X,6381318,277470
B01LBOZKPI,1190614,30528
B06Y13RRDB,1938641,77225
1496309812,759780,34514
1851684840,2677382,80994
1781851530,5825180,108521
1591265150,200804,4812
B005KJJ4G2,1243626,93827
0825420210,3450573,189521
B00KCYKK86,2273565,176678
1521288461,3050890,378154
0692232478,5651841,254582
1537246755,1728605,58517
1538713454,149102,2
0981065821,11586155,7434278
B004X6SUG8,1333496,13283
1944306021,9337675,162557
B0184I7L1U,106890,9687
B004C44GLY,1336565,637876
0802413145,34144,1004
1612432735,10866,644
1782160620,2406951,105299
1936746220,4262111,98916
1492785288,1775827,113336
1457511509,10764277,7098301
B0774V1B9J,267493,10466
0691167117,603703,12610
B01F3LATO2,1409331,94761
B00K91U7VW,2531750,186645
B01H3RJO5Y,1187258,71739
1682912140,9283780,5334573
014313230X,74083,1906
144055823X,14878795,11762563
006280376X,863970,11838
0349002304,2459745,140173
B00564GP7C,233595,22717
3944721918,9041288,7842965
B074ZP9LG8,737610,1374
B00DSUBSS2,1065109,90002
147362147X,4030177,119675
B01ARRWON6,594626,76532
B01C1LUFFK,3353,25
B079HKKYS9,1137926,50566
1894997166,2520448,88531
B073WHYGYS,266467,5381
1944648615,418403,12000
193473053X,4544924,60689
1589850602,7238716,224565
1683312732,1344678,75269
B07C9TM55R,51837,610
B00YMU11M0,3560312,2602709
0692521305,1923075,101188
1509205896,7465054,5140017
B01F7LDFZI,656693,23367
B00GBHQXZC,151663,11451
111887031X,858799,18384
B07CLBVB5P,1010689,63082
B00MEGS6JU,1155948,126320
1400054192,590722,13142
B009V300OS,419609,22702
B01KE64Y9C,392947,2023
1911246054,2477756,110415
B01EICYTHU,682527,27529
0750930985,4196347,84956
1554049725,8462291,7630883
B077J3XDZY,1756681,78309
022637145X,658240,10953
B01ETOH47O,629998,21405
1944515356,221505,1846
0062684132,1068004,3751
1784393878,8236193,15214
B07BMJT6Q5,3314349,140772
B078YFLYMV,1494686,35866
1387159534,251840,2523
B015Z8IWQU,395045,65176
B076KR626G,854567,13946
6065720151,10254385,149850
B01CNLOZ3G,55557,402
B01LW7QFWI,220508,7532
0590430475,986116,23327
1451645856,1978,446
1501153455,394787,28134
1785903357,4107693,114974
1500259438,5173157,3708557
B00IOQ60PQ,1619181,100273
B07961691M,1155013,36974
B01M03P1W5,28351,690
1620070677,9456117,130867
3946688179,2222136,111039
B07C2QDTMC,141369,1027
B075L6T1NT,1252433,20610
1546988645,7485470,149759
0692968199,8269273,194648
3319666304,1065750,47052
B000WCLXC0,10874094,9651433
1621840476,2851858,112696
1451614217,335482,15010
3833822015,6536283,289897
B01LYDZ7UD,2551606,121208
1934255777,3803267,137023
B01M4K9GUD,2065754,107896
1568589778,486838,13099
0470505338,994311,33007
B078S2BMW3,9000,41
B07CWBLL9X,1672400,110637
0789735873,5920844,4179572
B079ZDFT26,235313,29140
1250117895,228142,4267
1523652438,3323529,117072
B01N9J0M2I,341776,37609
B00AWJOPFU,1505528,115323
1626396914,6101865,108248
1627780963,791836,31399
B01F4H68PY,1128753,67737
3404243811,14159522,215693
1433549832,9982,534
1553659775,3086036,121622
B00NJW9DJ0,3388074,2473968
0553394851,1157315,6242
B00HVF7OL0,3295,83
B00BYJAIZ8,1774040,100862
0140275363,16652,508
0008183325,3004971,71584
1411469666,573948,19759
B0741P46M3,978301,12795
B00MSWEIR4,2203080,95252
1137331755,6851360,221248
B07DZDF9QJ,157853,35075
B01D91I6CK,531225,6657
1594267219,8428395,223323
B076ZSPRNS,39281,3484
B0769KCLHW,2873011,97278
B07CN298HH,24067,634
0399181776,7403,12
B01M590HRT,1364197,100933
0691172153,1051230,27095
1719344620,720319,54045
B07546TZNK,198622,472
B003Z4KBZM,2498145,1777638
B013BRDMY4,504361,51010
075226639X,1787675,98613
0743297334,7499,403
B00FPVC2AA,2991064,2145775
193327218X,1472420,74772
1594203806,74953,9048
3866711417,15250898,13435150
3596032970,9740376,128334
B01NAW3RDM,302165,109
1943820007,1792450,56652
B01DCAV4W2,11644,554
1250093635,5861,68
0957596804,4501770,4310365
1935547275,6630120,151595
1521407320,846469,36099
B01N9QCQQV,1900626,112887
B00LNIVRDC,339617,33848
B074GK2WT8,1594483,56069
1451190948,24590,106
B0763VMMN8,265325,344
1530333733,4541496,64541
1541270142,2889789,60154
B01M2CMC3Z,196172,31
0195323033,507812,9674
1451665423,616248,32483
B000K6SDZS,5425386,4838816
B00C7GG30Q,9959586,9778006
B00NUAK3RM,2577543,121102
1451673221,624055,21081
1118488091,1087566,70125
0393240800,82746,2536
1938073053,1221287,87490
075155393X,726408,26153
B003E74AHK,1243958,112103
0557006651,17102137,14340326
1519690975,7743676,5312774
0997895829,6445,1243
0781405084,1161448,56524
0988589761,6494703,187005
3280061067,7200696,5321910
1523457015,6947914,146375
0821776967,6326260,387715
B01F1L2ZMS,1664951,115217
0143424467,436120,13592
B01JAI3DVU,2333036,170389
B00PRGVRHW,1688714,37164
1329626478,1193969,54415
1937556034,7996309,5461034
B075D7TRGC,2614375,71206
0143129929,720912,38251
1250075688,696622,77395
1925711080,3629204,105139
1945263024,5837420,161282
0399175164,204072,3722
B00YN6TX8W,509394,14530
B07CN495V3,610358,30380
1907282319,9793597,6419780
B019O2LVIO,1172969,44785
0393322238,14118,94
194129524X,2906946,143718
B0759PFGNQ,1035533,17798
082327473X,1084037,94922
B071YNX8KF,25383,452
B077YW4HXP,737652,21724
B00NK0MJBK,47121,436
B00AXS6B52,1873361,90907
0547722184,159798,12645
B00GM8CLK6,1816825,123815
1478172983,4914200,3540962
B00JNI8L7O,377727,13078
0552163295,3015012,81847
0765398818,1958021,19438
