,max_rank,min_rank
0976986248,2632541,90769
B0078QRK1Q,1124404,78118
3821835699,14804482,167930
0099474778,5842350,156952
0763655988,9700,603
B075VBWWNB,864006,19242
1478764287,2772381,120189
B071497TTL,38676,7512
1937564762,1017475,83715
0310525977,792637,4745
B07913YRDR,7417,41
B018O6880K,1187722,92367
B00M6H3BCY,1721750,163289
0830846239,15662,964
1491210354,989190,75707
0525558586,3842,41
1481459600,534243,24739
B07B77M4DZ,866814,101292
B004VAYEBQ,4311224,3450448
B0777M2S8X,947813,26964
3938100710,8378384,5658435
B000FC1MBO,3797,2698
B078JLK6ML,1179622,73209
B079RTFZGM,1359429,157311
1541002695,6199767,139050
1683700503,1850702,67763
B00VC4EZAY,241776,29944
B001B3HULC,1661497,105211
1944515690,512745,7600
067002550X,285882,9513
1514784009,2179219,100723
1601547757,16164338,15800879
B00M00ZN1Y,2301532,102361
B06ZYW8B2D,10364,2
9351035964,10161867,6671932
B01F2WPPVO,300205,45602
1942689047,2964070,122613
B07B9X6S7Q,293685,40
B0088NHGZS,2512646,1788014
1942614292,5178045,62471
1432781332,3209147,111523
1979438811,4549956,171406
B076C3RMGY,1515591,24058
125018178X,656356,34087
B078ZJ17K9,639476,6452
B072JCBPZG,39907,2250
1462066259,13980783,10648758
1594485615,766025,32356
1786812282,2579360,69499
1508582211,60696,7235
0226120678,1154848,9738
B00B0A5X3I,611189,61868
1940715032,972425,41543
0230337554,1484213,30957
B01NBFQUJO,910785,65698
B00TNPQKBG,3112110,1252849
1480828912,4771299,109189
B0731SKZ82,15947,457
B07C9RKNRB,724654,17260
1250058252,685688,15431
B00XX0BE0O,201096,7426
147210353X,10638,1817
1974341801,2234653,97637
B005OCYRGW,243363,512
1580897339,3602365,91559
B072N138GC,386349,131
1981971548,1835120,124208
0425284689,80,15
1591147484,1636176,109722
B0081JJHWY,3170506,164011
B07CSZCMMM,1359884,116080
1640634185,8305735,1091405
3442164990,16298552,13429164
1478113561,9448836,6209266
0316381101,8685,257
